estrato,ano,mes,casos,total,populacao,anomalia_mm,dias_20mm,temp_media
sem rede,2008,5,20,520,77746,-44.720666666666666,1.9333333333333333,17.358494623655915
sem rede,2008,6,39,524,77746,3.118444444444447,2.4,15.348888888888888
sem rede,2008,7,31,534,77746,-23.655111111111115,1.2666666666666666,18.43182795698925
sem rede,2008,8,36,525,77746,108.57977777777778,3.6,19.08838709677419
sem rede,2008,9,23,506,77746,-66.7011111111111,1.7333333333333334,18.159555555555553
sem rede,2008,10,41,504,77746,48.03866666666667,3.6666666666666665,22.41763440860215
sem rede,2008,11,43,530,77746,71.5,4.866666666666666,23.032666666666668
sem rede,2008,12,35,502,77746,-128.784,0.7333333333333333,25.220430107526884
sem rede,2009,1,28,564,77696,-7.118888888888889,2.0,23.72193548387097
sem rede,2009,2,43,544,77696,-22.022666666666666,1.4,24.931190476190476
sem rede,2009,3,50,573,77696,-72.13111111111111,0.0,25.035483870967745
sem rede,2009,4,57,555,77696,-105.3231111111111,0.0,23.386444444444447
sem rede,2009,5,22,569,77696,23.07933333333333,2.933333333333333,19.260645161290324
sem rede,2009,6,30,581,77696,-35.47488888888889,1.3333333333333333,14.775555555555554
sem rede,2009,7,25,568,77696,34.42488888888889,1.2,15.342150537634408
sem rede,2009,8,15,561,77696,-10.786888888888887,0.6666666666666666,18.060215053763443
sem rede,2009,9,24,727,77696,72.14555555555556,4.2,19.257333333333335
sem rede,2009,10,29,599,77696,168.93866666666665,6.066666666666666,21.791397849462367
sem rede,2009,11,28,629,77696,47.36000000000001,2.533333333333333,25.45688888888889
sem rede,2009,12,40,622,77696,12.062666666666669,2.933333333333333,24.59698924731183
sem rede,2010,1,44,615,77250,28.547777777777775,1.8666666666666667,24.851612903225806
sem rede,2010,2,34,640,77250,-4.909333333333331,1.0,25.299761904761905
sem rede,2010,3,32,629,77250,-4.857777777777779,1.5333333333333334,24.078494623655914
sem rede,2010,4,44,619,77250,56.336888888888886,3.533333333333333,21.27111111111111
sem rede,2010,5,22,615,77250,25.079333333333338,3.7333333333333334,16.946236559139784
sem rede,2010,6,26,672,77250,-89.08822222222221,0.8666666666666667,17.312
sem rede,2010,7,42,615,77250,22.41155555555555,2.7333333333333334,16.845591397849464
sem rede,2010,8,43,710,77250,-68.9268888888889,0.0,17.86193548387097
sem rede,2010,9,40,646,77250,2.7255555555555504,2.2,20.919333333333334
sem rede,2010,10,25,637,77250,20.34533333333333,3.933333333333333,20.11204301075269
sem rede,2010,11,47,660,77250,-54.60666666666667,1.2666666666666666,21.583111111111112
sem rede,2010,12,49,627,77250,71.26266666666668,4.0,23.658279569892475
sem rede,2011,1,50,638,76809,-28.47888888888889,0.4666666666666667,24.84903225806452
sem rede,2011,2,44,573,76809,112.784,3.7333333333333334,24.04261904761905
sem rede,2011,3,45,645,76809,-5.064444444444448,1.8666666666666667,23.470752688172045
sem rede,2011,4,66,653,76809,-26.076444444444444,0.26666666666666666,21.508444444444443
sem rede,2011,5,30,555,76809,-133.10066666666665,0.0,17.970752688172045
sem rede,2011,6,27,551,76809,-14.561555555555552,2.3333333333333335,15.954
sem rede,2011,7,18,531,76809,51.824888888888886,3.6,16.898279569892473
sem rede,2011,8,18,554,76809,98.08644444444444,4.0,17.491827956989248
sem rede,2011,9,14,536,76809,-26.761111111111116,2.6666666666666665,19.63111111111111
sem rede,2011,10,15,533,76809,17.511999999999993,4.133333333333334,21.991397849462366
sem rede,2011,11,26,564,76809,7.126666666666665,3.0,22.24711111111111
sem rede,2011,12,39,588,76809,-105.16399999999999,0.6666666666666666,24.026666666666664
sem rede,2012,1,35,601,76757,-18.99222222222222,1.8,24.308817204301075
sem rede,2012,2,24,553,76757,-57.38933333333333,0.9333333333333333,25.76206896551724
sem rede,2012,3,30,577,76757,-65.73777777777778,0.7333333333333333,23.621075268817204
sem rede,2012,4,37,602,76757,101.29022222222221,4.6,21.358888888888888
sem rede,2012,5,28,513,76757,-29.800666666666668,2.6666666666666665,18.27311827956989
sem rede,2012,6,31,607,76757,68.39844444444445,2.933333333333333,16.94688888888889
sem rede,2012,7,21,552,76757,-19.721777777777778,0.5333333333333333,16.4247311827957
sem rede,2012,8,18,527,76757,-84.12688888888889,0.0,20.677634408602152
sem rede,2012,9,29,630,76757,-96.84777777777778,0.5333333333333333,21.92111111111111
sem rede,2012,10,45,612,76757,-59.688,2.2666666666666666,23.829892473118278
sem rede,2012,11,24,604,76757,-71.34666666666666,0.06666666666666667,24.324666666666666
sem rede,2012,12,33,576,76757,-7.163999999999989,2.2,26.2247311827957
sem rede,2013,1,34,510,79088,-49.14555555555556,2.0,24.62537634408602
sem rede,2013,2,30,521,79088,85.79066666666667,3.7333333333333334,24.045
sem rede,2013,3,31,523,79088,105.32222222222222,4.0,22.62494623655914
sem rede,2013,4,26,583,79088,20.856888888888882,2.8666666666666667,20.51488888888889
sem rede,2013,5,27,594,79088,16.432666666666666,2.4,18.703010752688172
sem rede,2013,6,29,586,79088,246.11177777777777,7.333333333333333,17.02
sem rede,2013,7,10,536,79088,-36.781777777777776,1.7333333333333334,15.929677419354839
sem rede,2013,8,14,589,79088,-51.546888888888894,0.0,16.47204301075269
sem rede,2013,9,27,598,79088,0.7322222222222194,2.6666666666666665,19.877777777777776
sem rede,2013,10,10,574,79088,-75.94800000000001,1.8,21.481290322580644
sem rede,2013,11,22,534,79088,-28.186666666666664,2.2,23.42088888888889
sem rede,2013,12,33,542,79088,-53.943999999999996,1.3333333333333333,25.10451612903226
sem rede,2014,1,33,575,79133,54.94111111111111,3.0,25.04989247311828
sem rede,2014,2,27,609,79133,-65.60266666666666,1.2,25.64547619047619
sem rede,2014,3,36,573,79133,77.33555555555556,2.8666666666666667,22.921290322580646
sem rede,2014,4,23,555,79133,35.490222222222215,2.466666666666667,21.541333333333334
sem rede,2014,5,24,575,79133,-4.394000000000004,3.533333333333333,18.287741935483872
sem rede,2014,6,27,600,79133,151.84511111111112,4.133333333333334,17.579555555555554
sem rede,2014,7,16,601,79133,26.758222222222226,2.933333333333333,16.758924731182795
sem rede,2014,8,20,606,79133,-34.193555555555555,0.4666666666666667,19.108817204301076
sem rede,2014,9,16,644,79133,109.49888888888889,4.933333333333334,21.752666666666666
sem rede,2014,10,32,574,79133,-136.08800000000002,0.5333333333333333,24.454193548387096
sem rede,2014,11,27,557,79133,-7.833333333333331,1.0666666666666667,23.319333333333336
sem rede,2014,12,25,520,79133,-39.197333333333326,1.4,24.326021505376342
sem rede,2015,1,28,505,79174,-23.99222222222222,1.0,25.56408602150538
sem rede,2015,2,42,521,79174,-24.096000000000004,0.6666666666666666,24.32404761904762
sem rede,2015,3,23,538,79174,-8.624444444444448,0.8,23.54215053763441
sem rede,2015,4,26,520,79174,-36.309777777777775,0.3333333333333333,21.683333333333334
sem rede,2015,5,28,534,79174,-19.994000000000003,3.3333333333333335,18.857634408602152
sem rede,2015,6,30,520,79174,-35.861555555555555,2.4,18.304
sem rede,2015,7,20,554,79174,299.23155555555553,7.0,17.114408602150537
sem rede,2015,8,13,546,79174,-53.940222222222225,0.0,21.332043010752688
sem rede,2015,9,24,567,79174,67.46555555555555,4.8,21.8
sem rede,2015,10,25,539,79174,-40.33466666666667,1.9333333333333333,23.53182795698925
sem rede,2015,11,21,549,79174,201.76000000000002,6.733333333333333,23.214666666666666
sem rede,2015,12,16,513,79174,135.816,4.733333333333333,24.197204301075267
sem rede,2016,1,21,527,79216,-1.1455555555555559,2.1333333333333333,25.267096774193547
sem rede,2016,2,24,528,79216,90.77733333333335,4.866666666666666,24.911724137931035
