ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1959,9,25.231428571428573,147.04580952380954,-121.81438095238096,-82.84111009138066,-0.09,neutro
1959,10,215.88571428571427,193.30371428571428,22.581999999999994,11.682134553618802,-0.03,neutro
1959,11,130.6942857142857,153.6029523809524,-22.908666666666676,-14.914209858317461,0.05,neutro
1959,12,166.02857142857144,185.4586666666667,-19.430095238095248,-10.47677932087037,-0.04,neutro
1960,1,110.32285714285715,165.94780952380952,-55.62495238095238,-33.519546019058204,-0.1,neutro
1960,2,157.08,165.61752380952382,-8.537523809523805,-5.154964047972836,-0.1,neutro
1960,3,52.83428571428571,128.59952380952382,-75.7652380952381,-58.91564435919558,-0.07,neutro
1960,4,132.1542857142857,123.01209523809524,9.14219047619045,7.431944361646181,0.03,neutro
1960,5,75.72285714285715,149.96038095238094,-74.2375238095238,-49.5047580821347,0.02,neutro
1960,6,145.26000000000002,131.05228571428572,14.207714285714303,10.841256379678352,0.03,neutro
1960,7,55.27142857142857,105.8864761904762,-50.61504761904763,-47.80123906285978,0.13,neutro
1960,8,166.32285714285715,92.07361904761905,74.2492380952381,80.64116395472361,0.24,neutro
1960,9,76.86,147.04580952380954,-70.18580952380954,-47.73057440473685,0.27,neutro
1960,10,354.46285714285716,193.30371428571428,161.15914285714288,83.37094993370907,0.2,neutro
1960,11,119.65142857142858,153.6029523809524,-33.951523809523806,-22.10343179167563,0.12,neutro
1960,12,100.82857142857142,185.4586666666667,-84.63009523809527,-45.63286081971289,0.05,neutro
1961,1,149.38857142857145,165.94780952380952,-16.559238095238072,-9.97858190641692,0.04,neutro
1961,2,203.69714285714284,165.61752380952382,38.07961904761902,22.992505969002572,0.03,neutro
1961,3,234.82571428571427,128.59952380952382,106.22619047619045,82.60232023372669,0.04,neutro
1961,4,193.54000000000002,123.01209523809524,70.52790476190478,57.334122002714416,0.09,neutro
1961,5,49.379999999999995,149.96038095238094,-100.58038095238095,-67.07130264247573,0.23,neutro
1961,6,20.665714285714284,131.05228571428572,-110.38657142857143,-84.23093945055736,0.27,neutro
1961,7,4.505714285714285,105.8864761904762,-101.38076190476191,-95.74476888095786,0.14,neutro
1961,8,9.988571428571428,92.07361904761905,-82.08504761904761,-89.15153815838879,-0.13,neutro
1961,9,62.41142857142857,147.04580952380954,-84.63438095238097,-57.55647252135875,-0.3,neutro
1961,10,142.20857142857145,193.30371428571428,-51.09514285714283,-26.4325716895544,-0.26,neutro
1961,11,232.67142857142858,153.6029523809524,79.06847619047619,51.475883090044775,-0.19,neutro
1961,12,120.42,185.4586666666667,-65.03866666666669,-35.06908996793536,-0.16,neutro
1962,1,113.71714285714286,165.94780952380952,-52.230666666666664,-31.47415251610948,-0.24,neutro
1962,2,155.78285714285715,165.61752380952382,-9.834666666666664,-5.938179994755556,-0.22,neutro
1962,3,124.59142857142857,128.59952380952382,-4.008095238095251,-3.1167263449838836,-0.2,neutro
1962,4,108.54857142857142,123.01209523809524,-14.46352380952382,-11.757806239727113,-0.26,neutro
1962,5,117.19714285714285,149.96038095238094,-32.763238095238094,-21.847929357849438,-0.28,neutro
1962,6,32.80571428571429,131.05228571428572,-98.24657142857143,-74.967461187792,-0.2,neutro
1962,7,26.074285714285715,105.8864761904762,-79.8121904761905,-75.37524464655769,-0.04,neutro
1962,8,29.04857142857143,92.07361904761905,-63.02504761904761,-68.45071180101222,-0.07,neutro
1962,9,82.57428571428571,147.04580952380954,-64.47152380952383,-43.844516221378385,-0.11,neutro
1962,10,114.24285714285715,193.30371428571428,-79.06085714285713,-40.89981272993054,-0.22,neutro
1962,11,164.49428571428572,153.6029523809524,10.891333333333336,7.090575515971607,-0.31,neutro
1962,12,119.4457142857143,185.4586666666667,-66.01295238095238,-35.594428433803245,-0.43,neutro
1963,1,233.28857142857143,165.94780952380952,67.3407619047619,40.57948224685673,-0.4,neutro
1963,2,139.09142857142857,165.61752380952382,-26.52609523809525,-16.016478587497073,-0.15,neutro
1963,3,244.76000000000002,128.59952380952382,116.1604761904762,90.32729884951067,0.15,neutro
1963,4,21.83142857142857,123.01209523809524,-101.18066666666667,-82.25261627389332,0.27,neutro
1963,5,203.57714285714286,149.96038095238094,53.616761904761916,35.75395151989352,0.31,neutro
1963,6,82.97428571428571,131.05228571428572,-48.078,-36.68612091575228,0.52,El Nino fraco
1963,7,22.802857142857142,105.8864761904762,-83.08361904761907,-78.46480687312918,0.86,El Nino fraco
1963,8,28.857142857142858,92.07361904761905,-63.216476190476186,-68.65861996559688,1.14,El Nino moderado
1963,9,151.94285714285715,147.04580952380954,4.897047619047612,3.330287095501818,1.22,El Nino moderado
1963,10,77.50857142857143,193.30371428571428,-115.79514285714285,-59.90321669970128,1.29,El Nino moderado
1963,11,160.09142857142857,153.6029523809524,6.488476190476177,4.224187159100976,1.37,El Nino moderado
1963,12,151.81428571428572,185.4586666666667,-33.64438095238097,-18.141174827300766,1.31,El Nino moderado
1964,1,34.29714285714286,165.94780952380952,-131.65066666666667,-79.33257271936328,1.07,El Nino moderado
1964,2,116.45142857142858,165.61752380952382,-49.16609523809524,-29.686529605792806,0.62,El Nino fraco
1964,3,124.72571428571428,128.59952380952382,-3.873809523809541,-3.012304718598542,0.12,neutro
1964,4,191.39428571428573,123.01209523809524,68.38219047619049,55.58981037095076,-0.33,neutro
1964,5,3.637142857142857,149.96038095238094,-146.32323809523808,-97.57459748098545,-0.58,La Nina fraca
1964,6,48.88857142857143,131.05228571428572,-82.16371428571429,-62.69536913293059,-0.58,La Nina fraca
1964,7,49.14571428571429,105.8864761904762,-56.74076190476191,-53.58641060326963,-0.6,La Nina fraca
1964,8,105.68,92.07361904761905,13.60638095238096,14.777719278465584,-0.66,La Nina fraca
1964,9,161.82285714285715,147.04580952380954,14.777047619047607,10.049281694528615,-0.76,La Nina fraca
1964,10,100.72285714285715,193.30371428571428,-92.58085714285713,-47.89398769959338,-0.8,La Nina fraca
1964,11,99.4342857142857,153.6029523809524,-54.16866666666668,-35.265381183769414,-0.82,La Nina fraca
1964,12,154.55142857142857,185.4586666666667,-30.907238095238114,-16.665297260434368,-0.78,La Nina fraca
1965,1,98.39428571428572,165.94780952380952,-67.55352380952381,-40.707692378326634,-0.59,La Nina fraca
1965,2,188.20857142857145,165.61752380952382,22.59104761904763,13.640493529555195,-0.28,neutro
1965,3,59.114285714285714,128.59952380952382,-69.4852380952381,-54.032267023131986,-0.07,neutro
1965,4,115.4,123.01209523809524,-7.612095238095236,-6.188086808343273,0.18,neutro
1965,5,240.49714285714285,149.96038095238094,90.5367619047619,60.37378761628468,0.46,neutro
1965,6,90.71142857142857,131.05228571428572,-40.340857142857146,-30.7822613874942,0.83,El Nino fraco
1965,7,160.01142857142855,105.8864761904762,54.12495238095235,51.11602003223575,1.22,El Nino moderado
1965,8,170.6942857142857,92.07361904761905,78.62066666666666,85.38891756389556,1.54,El Nino forte
1965,9,226.46571428571428,147.04580952380954,79.41990476190475,54.010314893771344,1.85,El Nino forte
1965,10,212.58,193.30371428571428,19.276285714285734,9.972020344003452,1.98,El Nino forte
1965,11,138.10571428571427,153.6029523809524,-15.497238095238117,-10.089153792306833,1.97,El Nino forte
1965,12,242.98,185.4586666666667,57.5213333333333,31.015715990625026,1.72,El Nino forte
1966,1,122.90285714285716,165.94780952380952,-43.04495238095237,-25.938849391547073,1.37,El Nino moderado
1966,2,203.90857142857143,165.61752380952382,38.29104761904762,23.120166718037655,1.17,El Nino moderado
