ano,mes,casos,total,anomalia_mm,oni,fase,dias_20mm,dias_50mm,max_diario_mm,temp_media,t,anomalia_mm_lag0,anomalia_mm_lag1,anomalia_mm_lag2,dias_20mm_lag0,dias_20mm_lag1,dias_20mm_lag2,dias_50mm_lag0,dias_50mm_lag1,dias_50mm_lag2,max_diario_mm_lag0,max_diario_mm_lag1,max_diario_mm_lag2
2014,1,169.0,6228.0,50.98933333333335,-0.28,neutro,3.086,0.0,33.111,25.131,72,50.98933333333335,-55.890095238095256,-28.400095238095236,3.086,1.343,2.343,0.0,0.0,0.0,33.111,21.023,31.463
2014,2,184.0,6447.0,-68.1232380952381,-0.32,neutro,1.114,0.0,25.114,25.732,73,-68.1232380952381,50.98933333333335,-55.890095238095256,1.114,3.086,1.343,0.0,0.0,0.0,25.114,33.111,21.023
2014,3,152.0,6358.0,75.60619047619048,-0.14,neutro,2.943,0.257,45.209,22.985,74,75.60619047619048,-68.1232380952381,50.98933333333335,2.943,1.114,3.086,0.257,0.0,0.0,45.209,25.114,33.111
2014,4,159.0,6150.0,36.91361904761902,0.15,neutro,2.714,0.857,55.797,21.603,75,36.91361904761902,75.60619047619048,-68.1232380952381,2.714,2.943,1.114,0.857,0.257,0.0,55.797,45.209,25.114
2014,5,130.0,6426.0,-5.720380952380964,0.31,neutro,3.6,0.0,40.046,18.351,76,-5.720380952380964,36.91361904761902,75.60619047619048,3.6,2.714,2.943,0.0,0.857,0.257,40.046,55.797,45.209
2014,6,126.0,6729.0,153.3848571428571,0.23,neutro,4.343,2.114,87.523,17.649,77,153.3848571428571,-5.720380952380964,36.91361904761902,4.343,3.6,2.714,2.114,0.0,0.857,87.523,40.046,55.797
2014,7,95.0,7036.0,24.022095238095236,0.1,neutro,3.086,0.143,37.4,16.81,78,24.022095238095236,153.3848571428571,-5.720380952380964,3.086,4.343,3.6,0.143,2.114,0.0,37.4,87.523,40.046
2014,8,109.0,6751.0,-34.96219047619047,0.11,neutro,0.543,0.0,20.023,19.162,79,-34.96219047619047,24.022095238095236,153.3848571428571,0.543,3.086,4.343,0.0,0.143,2.114,20.023,37.4,87.523
2014,9,122.0,7025.0,112.0284761904762,0.28,neutro,5.286,0.6,50.691,21.822,80,112.0284761904762,-34.96219047619047,24.022095238095236,5.286,0.543,3.086,0.6,0.0,0.143,50.691,20.023,37.4
2014,10,149.0,6701.0,-139.58085714285713,0.54,El Nino fraco,0.371,0.0,19.077,24.563,81,-139.58085714285713,112.0284761904762,-34.96219047619047,0.371,5.286,0.543,0.0,0.6,0.0,19.077,50.691,20.023
2014,11,117.0,6553.0,-4.617238095238093,0.71,El Nino fraco,1.286,0.0,24.477,23.387,82,-4.617238095238093,-139.58085714285713,112.0284761904762,1.286,0.371,5.286,0.0,0.0,0.6,24.477,19.077,50.691
2014,12,121.0,5822.0,-42.05009523809525,0.77,El Nino fraco,1.2,0.057,33.454,24.39,83,-42.05009523809525,-4.617238095238093,-139.58085714285713,1.2,1.286,0.371,0.057,0.0,0.0,33.454,24.477,19.077
2015,1,115.0,5973.0,-22.244952380952384,0.69,El Nino fraco,0.943,0.0,21.406,25.616,84,-22.244952380952384,-42.05009523809525,-4.617238095238093,0.943,1.2,1.286,0.0,0.057,0.0,21.406,33.454,24.477
2015,2,143.0,5383.0,-23.923238095238105,0.61,El Nino fraco,0.771,0.057,26.169,24.393,85,-23.923238095238105,-22.244952380952384,-42.05009523809525,0.771,0.943,1.2,0.057,0.0,0.057,26.169,21.406,33.454
2015,3,95.0,5693.0,-3.9480952380952345,0.65,El Nino fraco,1.057,0.0,21.4,23.597,86,-3.9480952380952345,-23.923238095238105,-22.244952380952384,1.057,0.771,0.943,0.0,0.057,0.0,21.4,26.169,21.406
2015,4,109.0,6045.0,-37.32352380952382,0.81,El Nino fraco,0.343,0.0,18.003,21.732,87,-37.32352380952382,-3.9480952380952345,-23.923238095238105,0.343,1.057,0.771,0.0,0.0,0.057,18.003,21.4,26.169
2015,5,88.0,6155.0,-20.08038095238095,1.02,El Nino moderado,3.286,0.114,38.283,18.907,88,-20.08038095238095,-37.32352380952382,-3.9480952380952345,3.286,0.343,1.057,0.114,0.0,0.0,38.283,18.003,21.4
2015,6,69.0,5946.0,-35.68942857142858,1.25,El Nino moderado,2.286,0.0,28.694,18.356,89,-35.68942857142858,-20.08038095238095,-37.32352380952382,2.286,3.286,0.343,0.0,0.114,0.0,28.694,38.283,18.003
2015,7,61.0,6131.0,298.7963809523809,1.57,El Nino forte,7.171,2.514,77.534,17.163,90,298.7963809523809,-35.68942857142858,-20.08038095238095,7.171,2.286,3.286,2.514,0.0,0.114,77.534,28.694,38.283
2015,8,56.0,6275.0,-52.46790476190476,1.91,El Nino forte,0.0,0.0,12.283,21.404,91,-52.46790476190476,298.7963809523809,-35.68942857142858,0.0,7.171,2.286,0.0,2.514,0.0,12.283,77.534,28.694
2015,9,109.0,6280.0,69.3170476190476,2.21,El Nino muito forte,4.686,1.057,62.806,21.851,92,69.3170476190476,-52.46790476190476,298.7963809523809,4.686,0.0,7.171,1.057,0.0,2.514,62.806,12.283,77.534
2015,10,94.0,5925.0,-41.88085714285714,2.47,El Nino muito forte,1.971,0.343,46.143,23.597,93,-41.88085714285714,69.3170476190476,-52.46790476190476,1.971,4.686,0.0,0.343,1.057,0.0,46.143,62.806,12.283
2015,11,106.0,5835.0,199.76276190476187,2.64,El Nino muito forte,6.571,1.0,55.394,23.273,94,199.76276190476187,-41.88085714285714,69.3170476190476,6.571,1.971,4.686,1.0,0.343,1.057,55.394,46.143,62.806
2015,12,93.0,5760.0,141.435619047619,2.75,El Nino muito forte,4.771,0.057,40.991,24.264,95,141.435619047619,199.76276190476187,-41.88085714285714,4.771,6.571,1.971,0.057,1.0,0.343,40.991,55.394,46.143
2016,1,108.0,5465.0,0.5664761904761804,2.63,El Nino muito forte,2.286,0.0,28.326,25.353,96,0.5664761904761804,141.435619047619,199.76276190476187,2.286,4.771,6.571,0.0,0.057,1.0,28.326,40.991,55.394
2016,2,113.0,5558.0,99.0739047619048,2.28,El Nino muito forte,4.914,0.0,31.837,24.991,97,99.0739047619048,0.5664761904761804,141.435619047619,4.914,2.286,4.771,0.0,0.0,0.057,31.837,28.326,40.991
2016,3,98.0,5794.0,8.986190476190473,1.71,El Nino forte,2.514,0.086,35.729,22.79,98,8.986190476190473,99.0739047619048,0.5664761904761804,2.514,4.914,2.286,0.086,0.0,0.0,35.729,31.837,28.326
2016,4,79.0,6249.0,-65.79780952380952,1.05,El Nino moderado,1.257,0.0,28.931,23.83,99,-65.79780952380952,8.986190476190473,99.0739047619048,1.257,2.514,4.914,0.0,0.086,0.0,28.931,35.729,31.837
2016,5,87.0,6208.0,129.23104761904767,0.49,neutro,5.657,1.086,57.089,16.885,100,129.23104761904767,-65.79780952380952,8.986190476190473,5.657,1.257,2.514,1.086,0.0,0.086,57.089,28.931,35.729
2016,6,68.0,6386.0,-74.68942857142858,0.0,neutro,0.914,0.029,27.751,14.201,101,-74.68942857142858,129.23104761904767,-65.79780952380952,0.914,5.657,1.257,0.029,1.086,0.0,27.751,57.089,28.931
2016,7,81.0,6465.0,-16.05790476190478,-0.31,neutro,1.486,0.0,29.66,16.822,102,-16.05790476190478,-74.68942857142858,129.23104761904767,1.486,0.914,5.657,0.0,0.029,1.086,29.66,27.751,57.089
2016,8,114.0,6474.0,121.35780952380952,-0.5,La Nina fraca,3.543,0.771,64.831,18.288,103,121.35780952380952,-16.05790476190478,-74.68942857142858,3.543,1.486,0.914,0.771,0.0,0.029,64.831,29.66,27.751
2016,9,133.0,6452.0,-96.84580952380954,-0.58,La Nina fraca,0.771,0.0,23.143,18.49,104,-96.84580952380954,121.35780952380952,-16.05790476190478,0.771,3.543,1.486,0.0,0.771,0.0,23.143,64.831,29.66
2016,10,146.0,6331.0,-49.37228571428571,-0.64,La Nina fraca,2.371,0.314,45.011,21.848,105,-49.37228571428571,-96.84580952380954,121.35780952380952,2.371,0.771,3.543,0.314,0.0,0.771,45.011,23.143,64.831
2016,11,147.0,6026.0,-61.32580952380954,-0.6,La Nina fraca,1.343,0.0,26.674,23.05,106,-61.32580952380954,-49.37228571428571,-96.84580952380954,1.343,2.371,0.771,0.0,0.314,0.0,26.674,45.011,23.143
2016,12,101.0,5375.0,51.26133333333334,-0.45,neutro,3.8,0.0,34.331,24.002,107,51.26133333333334,-61.32580952380954,-49.37228571428571,3.8,1.343,2.371,0.0,0.0,0.314,34.331,26.674,45.011
2017,1,144.0,5826.0,-22.76780952380952,-0.19,neutro,1.029,0.0,26.591,24.776,108,-22.76780952380952,51.26133333333334,-61.32580952380954,1.029,3.8,1.343,0.0,0.0,0.0,26.591,34.331,26.674
2017,2,119.0,5850.0,-35.29180952380955,-0.02,neutro,1.171,0.0,27.617,25.109,109,-35.29180952380955,-22.76780952380952,51.26133333333334,1.171,1.029,3.8,0.0,0.0,0.0,27.617,26.591,34.331
2017,3,112.0,6443.0,-8.196666666666658,0.18,neutro,1.514,0.0,23.637,23.887,110,-8.196666666666658,-35.29180952380955,-22.76780952380952,1.514,1.171,1.029,0.0,0.0,0.0,23.637,27.617,26.591
2017,4,96.0,6074.0,-0.5978095238095307,0.31,neutro,2.457,0.0,28.803,20.857,111,-0.5978095238095307,-8.196666666666658,-35.29180952380955,2.457,1.514,1.171,0.0,0.0,0.0,28.803,23.637,27.617
